DESCRIPTION,USERID,USERNAME,USER_PARENT_ID,OPENDATE,ACCOUNT_BLOCK_REASONS,DESCRIPTION,SKIN,ACCOUNTTYPENAME,REALBALANCE,VERIFIEDPLAYER,VERIFIED_BANK_DETAILS,MOBILE_VERIFICATION,BR_ID,BR_NAME
Regular,18075962,adibr61,,2024-11-07 16:55:16,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18075962,adibr61,,2024-11-07 16:55:16,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18075961,adibr60,,2024-11-07 16:54:53,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18075961,adibr60,,2024-11-07 16:54:53,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18076353,lopesbr10,,2024-11-07 18:26:19,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18076353,lopesbr10,,2024-11-07 18:26:19,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18075957,adibr39,,2024-11-07 16:54:35,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18075957,adibr39,,2024-11-07 16:54:35,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18081067,lopesbr12,,2024-11-08 15:10:07,",1100,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,2,1100,CDD Request
Regular,18081067,lopesbr12,,2024-11-08 15:10:07,",1100,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,2,1161,Duplicate Account
Regular,18144755,lopesbr34,,2024-11-19 11:24:12,",1100,",Verification not relevant,PlayUZU.bet.br,Real User,1500.0,0,0,1,1100,CDD Request
Regular,18109685,puazbr131101,,2024-11-13 12:25:02,",1292,1100,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18109685,puazbr131101,,2024-11-13 12:25:02,",1292,1100,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1100,CDD Request
Regular,18109685,puazbr131101,,2024-11-13 12:25:02,",1292,1100,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18162885,lopesbr53,,2024-11-22 13:50:54,",1292,1100,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18162885,lopesbr53,,2024-11-22 13:50:54,",1292,1100,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1100,CDD Request
Regular,18116248,lopesbr22,,2024-11-14 16:07:43,",1100,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1100,CDD Request
Regular,18116248,lopesbr22,,2024-11-14 16:07:43,",1100,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18104437,lopesbr19,,2024-11-12 15:33:05,",1000,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1000,Self Excluded
Regular,18104437,lopesbr19,,2024-11-12 15:33:05,",1000,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18135155,lopesbr30,,2024-11-17 19:15:16,",1292,1100,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18135155,lopesbr30,,2024-11-17 19:15:16,",1292,1100,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1100,CDD Request
Regular,18135155,lopesbr30,,2024-11-17 19:15:16,",1292,1100,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18139259,PUbr06,,2024-11-18 12:04:39,",1292,1100,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18139259,PUbr06,,2024-11-18 12:04:39,",1292,1100,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1100,CDD Request
Regular,18034858,puazbr08,,2024-10-31 12:49:02,",1100,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,2,1100,CDD Request
Regular,18034703,guibr1,,2024-10-31 11:57:26,",1290,1090,",Reverification required,PlayUZU.bet.br,Registered User,0.0,0,0,2,1290,Missing Copy of ID
Regular,18034703,guibr1,,2024-10-31 11:57:26,",1290,1090,",Reverification required,PlayUZU.bet.br,Registered User,0.0,0,0,2,1090,CDD Required
Regular,18200879,stellhdt178,,2024-11-28 11:12:52,",1020,1161,1100,1090,",Verification required,PlayUZU.bet.br,Registered User,0.0,0,0,1,1020,NON Verified at registration
Regular,18200879,stellhdt178,,2024-11-28 11:12:52,",1020,1161,1100,1090,",Verification required,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18200879,stellhdt178,,2024-11-28 11:12:52,",1020,1161,1100,1090,",Verification required,PlayUZU.bet.br,Registered User,0.0,0,0,1,1100,CDD Request
Regular,18200879,stellhdt178,,2024-11-28 11:12:52,",1020,1161,1100,1090,",Verification required,PlayUZU.bet.br,Registered User,0.0,0,0,1,1090,CDD Required
Regular,18103620,lopesbr18,,2024-11-12 11:28:50,",1292,1100,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18103620,lopesbr18,,2024-11-12 11:28:50,",1292,1100,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1100,CDD Request
Regular,18103620,lopesbr18,,2024-11-12 11:28:50,",1292,1100,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18103607,lopesbr15,,2024-11-12 11:25:47,",1292,1100,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18103607,lopesbr15,,2024-11-12 11:25:47,",1292,1100,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1100,CDD Request
Regular,18103607,lopesbr15,,2024-11-12 11:25:47,",1292,1100,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18103608,lopesbr16,,2024-11-12 11:26:43,",1292,1100,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18103608,lopesbr16,,2024-11-12 11:26:43,",1292,1100,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1100,CDD Request
Regular,18103608,lopesbr16,,2024-11-12 11:26:43,",1292,1100,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18075951,adiPUbr22,,2024-11-07 16:53:37,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18075951,adiPUbr22,,2024-11-07 16:53:37,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18075964,adibrrj61,,2024-11-07 16:55:39,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18075964,adibrrj61,,2024-11-07 16:55:39,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18103613,lopesbr17,,2024-11-12 11:27:46,",1292,1100,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18103613,lopesbr17,,2024-11-12 11:27:46,",1292,1100,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1100,CDD Request
Regular,18103613,lopesbr17,,2024-11-12 11:27:46,",1292,1100,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18056460,puazbr041101,,2024-11-04 07:15:35,",1100,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,2,1100,CDD Request
Regular,18075955,adibr30,,2024-11-07 16:54:10,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18075955,adibr30,,2024-11-07 16:54:10,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18075947,adiPUbr2,,2024-11-07 16:53:20,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18075947,adiPUbr2,,2024-11-07 16:53:20,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18075952,adiPUbr30,,2024-11-07 16:53:51,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18075952,adiPUbr30,,2024-11-07 16:53:51,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18081823,lopesbr13,,2024-11-08 18:27:09,",1292,1100,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18081823,lopesbr13,,2024-11-08 18:27:09,",1292,1100,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1100,CDD Request
Regular,18075640,adiPUbr20,,2024-11-07 15:41:32,",1100,",Verification not relevant,PlayUZU.bet.br,Real User,1500.0,0,0,2,1100,CDD Request
Regular,18109213,lopesbr20,,2024-11-13 09:47:45,",1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18075956,adibr38,,2024-11-07 16:54:29,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18075956,adibr38,,2024-11-07 16:54:29,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18097694,vastest489,,2024-11-11 10:27:33,",1100,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,2,1100,CDD Request
Regular,18109695,bpazbr131102,,2024-11-13 12:29:03,",1292,1100,",Verification not relevant,BacanaPlay.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18109695,bpazbr131102,,2024-11-13 12:29:03,",1292,1100,",Verification not relevant,BacanaPlay.bet.br,Registered User,0.0,0,0,1,1100,CDD Request
Regular,18110160,lopesbr21,,2024-11-13 14:44:10,",1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18187817,aviPUbr08,,2024-11-26 10:19:31,",1292,1100,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18187817,aviPUbr08,,2024-11-26 10:19:31,",1292,1100,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1100,CDD Request
Regular,18109688,puazbr131102,,2024-11-13 12:25:45,",1100,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,2,1100,CDD Request
Regular,18208017,blondbr90,,2024-11-29 15:31:10,",1316,",Verification required,PlayUZU.bet.br,Real User,0.0,0,0,2,1316,Login Blocked
Regular,18244204,emidia_br,,2024-12-05 08:33:43,",1343,1290,1020,1291,1090,1100,1000,",Verification required,PlayUZU.bet.br,Registered User,0.0,0,0,2,1343,Bank Account Details Required
Regular,18244204,emidia_br,,2024-12-05 08:33:43,",1343,1290,1020,1291,1090,1100,1000,",Verification required,PlayUZU.bet.br,Registered User,0.0,0,0,2,1290,Missing Copy of ID
Regular,18244204,emidia_br,,2024-12-05 08:33:43,",1343,1290,1020,1291,1090,1100,1000,",Verification required,PlayUZU.bet.br,Registered User,0.0,0,0,2,1020,NON Verified at registration
Regular,18244204,emidia_br,,2024-12-05 08:33:43,",1343,1290,1020,1291,1090,1100,1000,",Verification required,PlayUZU.bet.br,Registered User,0.0,0,0,2,1291,Missing Copy of Address
Regular,18244204,emidia_br,,2024-12-05 08:33:43,",1343,1290,1020,1291,1090,1100,1000,",Verification required,PlayUZU.bet.br,Registered User,0.0,0,0,2,1090,CDD Required
Regular,18244204,emidia_br,,2024-12-05 08:33:43,",1343,1290,1020,1291,1090,1100,1000,",Verification required,PlayUZU.bet.br,Registered User,0.0,0,0,2,1100,CDD Request
Regular,18244204,emidia_br,,2024-12-05 08:33:43,",1343,1290,1020,1291,1090,1100,1000,",Verification required,PlayUZU.bet.br,Registered User,0.0,0,0,2,1000,Self Excluded
Regular,18076350,clauserbr97,,2024-11-07 18:25:01,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18076350,clauserbr97,,2024-11-07 18:25:01,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18187831,asztbr011,,2024-11-26 10:23:44,",1292,1100,1235,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18187831,asztbr011,,2024-11-26 10:23:44,",1292,1100,1235,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1100,CDD Request
Regular,18187831,asztbr011,,2024-11-26 10:23:44,",1292,1100,1235,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1235,Terminated (Permanently Closed Account)
Regular,18075966,adiuserbr62,,2024-11-07 16:56:12,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18075966,adiuserbr62,,2024-11-07 16:56:12,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18076354,lopesbr11,,2024-11-07 18:26:51,",1100,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,2,1100,CDD Request
Regular,18076354,lopesbr11,,2024-11-07 18:26:51,",1100,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,2,1161,Duplicate Account
Regular,18076342,adiuserbr90,,2024-11-07 18:23:56,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18076342,adiuserbr90,,2024-11-07 18:23:56,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18076346,clauserbr90,,2024-11-07 18:24:34,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18076346,clauserbr90,,2024-11-07 18:24:34,",1292,1161,",Verification not relevant,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18226699,blondbr92,,2024-12-02 14:27:18,",1316,",Verification required,PlayUZU.bet.br,Real User,0.0,0,0,2,1316,Login Blocked
Regular,18226690,blondbr91,,2024-12-02 14:26:19,",1290,1292,1343,1291,1020,1090,1100,1161,",Verification required,PlayUZU.bet.br,Registered User,0.0,0,0,1,1290,Missing Copy of ID
Regular,18226690,blondbr91,,2024-12-02 14:26:19,",1290,1292,1343,1291,1020,1090,1100,1161,",Verification required,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18226690,blondbr91,,2024-12-02 14:26:19,",1290,1292,1343,1291,1020,1090,1100,1161,",Verification required,PlayUZU.bet.br,Registered User,0.0,0,0,1,1343,Bank Account Details Required
Regular,18226690,blondbr91,,2024-12-02 14:26:19,",1290,1292,1343,1291,1020,1090,1100,1161,",Verification required,PlayUZU.bet.br,Registered User,0.0,0,0,1,1291,Missing Copy of Address
Regular,18226690,blondbr91,,2024-12-02 14:26:19,",1290,1292,1343,1291,1020,1090,1100,1161,",Verification required,PlayUZU.bet.br,Registered User,0.0,0,0,1,1020,NON Verified at registration
Regular,18226690,blondbr91,,2024-12-02 14:26:19,",1290,1292,1343,1291,1020,1090,1100,1161,",Verification required,PlayUZU.bet.br,Registered User,0.0,0,0,1,1090,CDD Required
Regular,18226690,blondbr91,,2024-12-02 14:26:19,",1290,1292,1343,1291,1020,1090,1100,1161,",Verification required,PlayUZU.bet.br,Registered User,0.0,0,0,1,1100,CDD Request
Regular,18226690,blondbr91,,2024-12-02 14:26:19,",1290,1292,1343,1291,1020,1090,1100,1161,",Verification required,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18239427,oladia_br,,2024-12-04 15:21:18,",1343,1290,1020,1291,1090,1100,",Verification required,PlayUZU.bet.br,Registered User,0.0,0,0,2,1343,Bank Account Details Required
Regular,18239427,oladia_br,,2024-12-04 15:21:18,",1343,1290,1020,1291,1090,1100,",Verification required,PlayUZU.bet.br,Registered User,0.0,0,0,2,1290,Missing Copy of ID
Regular,18239427,oladia_br,,2024-12-04 15:21:18,",1343,1290,1020,1291,1090,1100,",Verification required,PlayUZU.bet.br,Registered User,0.0,0,0,2,1020,NON Verified at registration
Regular,18239427,oladia_br,,2024-12-04 15:21:18,",1343,1290,1020,1291,1090,1100,",Verification required,PlayUZU.bet.br,Registered User,0.0,0,0,2,1291,Missing Copy of Address
Regular,18239427,oladia_br,,2024-12-04 15:21:18,",1343,1290,1020,1291,1090,1100,",Verification required,PlayUZU.bet.br,Registered User,0.0,0,0,2,1090,CDD Required
Regular,18239427,oladia_br,,2024-12-04 15:21:18,",1343,1290,1020,1291,1090,1100,",Verification required,PlayUZU.bet.br,Registered User,0.0,0,0,2,1100,CDD Request
Regular,18326907,adiPUbr05,,2024-12-18 15:29:10,",1290,1292,1291,1020,1343,1100,1090,1161,",Verification required,PlayUZU.bet.br,Registered User,0.0,0,0,1,1290,Missing Copy of ID
Regular,18326907,adiPUbr05,,2024-12-18 15:29:10,",1290,1292,1291,1020,1343,1100,1090,1161,",Verification required,PlayUZU.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18326907,adiPUbr05,,2024-12-18 15:29:10,",1290,1292,1291,1020,1343,1100,1090,1161,",Verification required,PlayUZU.bet.br,Registered User,0.0,0,0,1,1291,Missing Copy of Address
Regular,18326907,adiPUbr05,,2024-12-18 15:29:10,",1290,1292,1291,1020,1343,1100,1090,1161,",Verification required,PlayUZU.bet.br,Registered User,0.0,0,0,1,1020,NON Verified at registration
Regular,18326907,adiPUbr05,,2024-12-18 15:29:10,",1290,1292,1291,1020,1343,1100,1090,1161,",Verification required,PlayUZU.bet.br,Registered User,0.0,0,0,1,1343,Bank Account Details Required
Regular,18326907,adiPUbr05,,2024-12-18 15:29:10,",1290,1292,1291,1020,1343,1100,1090,1161,",Verification required,PlayUZU.bet.br,Registered User,0.0,0,0,1,1100,CDD Request
Regular,18326907,adiPUbr05,,2024-12-18 15:29:10,",1290,1292,1291,1020,1343,1100,1090,1161,",Verification required,PlayUZU.bet.br,Registered User,0.0,0,0,1,1090,CDD Required
Regular,18326907,adiPUbr05,,2024-12-18 15:29:10,",1290,1292,1291,1020,1343,1100,1090,1161,",Verification required,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18288666,puazbr121201,,2024-12-12 07:21:04,",1343,",Manually Verified,PlayUZU.bet.br,Registered User,0.0,0,0,2,1343,Bank Account Details Required
Regular,18415201,vastest517,,2024-12-31 16:17:57,",1020,1291,1290,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2,1020,NON Verified at registration
Regular,18415201,vastest517,,2024-12-31 16:17:57,",1020,1291,1290,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2,1291,Missing Copy of Address
Regular,18415201,vastest517,,2024-12-31 16:17:57,",1020,1291,1290,",Verification required,PlayUZU.bet.br,Practice User,0.0,0,0,2,1290,Missing Copy of ID
Regular,18307359,blondbr22,,2024-12-15 08:52:14,",1161,",Verification required,PlayUZU.bet.br,Registered User,0.0,0,0,1,1161,Duplicate Account
Regular,18325576,oladid,,2024-12-18 08:15:28,",1343,1292,1291,1290,1020,1090,1100,1161,",Verification required,BacanaPlay.bet.br,Registered User,0.0,0,0,1,1343,Bank Account Details Required
Regular,18325576,oladid,,2024-12-18 08:15:28,",1343,1292,1291,1290,1020,1090,1100,1161,",Verification required,BacanaPlay.bet.br,Registered User,0.0,0,0,1,1292,Mobile Verification Required
Regular,18325576,oladid,,2024-12-18 08:15:28,",1343,1292,1291,1290,1020,1090,1100,1161,",Verification required,BacanaPlay.bet.br,Registered User,0.0,0,0,1,1291,Missing Copy of Address
Regular,18325576,oladid,,2024-12-18 08:15:28,",1343,1292,1291,1290,1020,1090,1100,1161,",Verification required,BacanaPlay.bet.br,Registered User,0.0,0,0,1,1290,Missing Copy of ID
Regular,18325576,oladid,,2024-12-18 08:15:28,",1343,1292,1291,1290,1020,1090,1100,1161,",Verification required,BacanaPlay.bet.br,Registered User,0.0,0,0,1,1020,NON Verified at registration
Regular,18325576,oladid,,2024-12-18 08:15:28,",1343,1292,1291,1290,1020,1090,1100,1161,",Verification required,BacanaPlay.bet.br,Registered User,0.0,0,0,1,1090,CDD Required
Regular,18325576,oladid,,2024-12-18 08:15:28,",1343,1292,1291,1290,1020,1090,1100,1161,",Verification required,BacanaPlay.bet.br,Registered User,0.0,0,0,1,1100,CDD Request
